ID,COORDS_X,COORDS_Y,AGE,HOUSESIZE,LOTSIZE,BEDROOMS,DFLOOD100,RESID,AGEnorm,HOUSESIZEnorm,LOTSIZEnorm,BEDROOMSnorm,RESIDnorm,PRICE_KRIGING
18006,2485187.281434453,681504.2480550902,72.0,978.0,0.14,2.0,0.0,0.4280993746798387,0.4744525547445255,0.06319011697824423,0.28437822836347243,0.125,0.9266261569366003,45072.875158587456
18007,2480512.0233802013,681361.4861487988,67.0,784.0,0.11,2.0,0.0,-0.3108576839308519,0.5109489051094891,0.041980977369629385,0.24913444359809056,0.125,0.19662833729487766,17544.036100490863
18018,2478038.6350100185,675461.7652633024,40.0,1066.0,0.2,3.0,0.0,0.023550031370065838,0.708029197080292,0.07281075762545097,0.3365032397408885,0.25,0.5269816375258854,51383.86681455896
18024,2492690.3047791976,678233.8737922163,46.0,1105.0,0.21,2.0,0.0,0.20223116081523784,0.6642335766423357,0.07707445063955395,0.3436335075257613,0.125,0.7034964070732926,57126.37696500656
18025,2488214.895681889,674112.2088246279,43.0,2513.0,1.13,4.0,1.0,-0.01467413386330918,0.6861313868613139,0.2310047009948617,0.5895699788742361,0.375,0.48922090846478133,135345.9449364146
18027,2481944.5135827437,667631.8258123156,17.0,2814.0,0.32,4.0,0.0,0.04618402610674366,0.8759124087591241,0.26391166502678476,0.4051902752004612,0.375,0.5493412139248461,224443.87917516974
18028,2474852.0654728813,675183.8372046738,54.0,1354.0,0.5,2.0,0.0,-0.036858595308183695,0.6058394160583942,0.104296490652673,0.47041134188154643,0.125,0.46730541514080975,53442.3766733172
18035,2483760.0518847234,678345.4568447345,62.0,1008.0,0.14,2.0,0.0,0.09297256894222095,0.5474452554744526,0.06646988083524653,0.28437822836347243,0.125,0.5955624846416148,37561.29841674974
18053,2475386.9824121688,675635.5676632612,39.0,2493.0,0.71,4.0,0.0,-0.14924068335111684,0.7153284671532847,0.22881819175686016,0.5216568631412211,0.375,0.3562858663291836,127663.78280909536
18054,2492705.681903058,674274.8003473987,31.0,1838.0,0.22,3.0,0.0,0.041050840714360604,0.7737226277372262,0.15721001421231004,0.35043201239820587,0.25,0.5442702641306842,109252.26854764433
