ID1,BATHROOM_1,AGE_1,TOT_SQ_F_1,TOTAL_AC_1,NEWHOME_1,POSTFIRM_1,DFLOOD_A_1,DFLOOD_X_1,FIRSTROW_1,PROXAMEN_1,DISTAMEN_1,DISTCBD1_1,DISTHWY_1,DISTPARK_1,PRICE
5891.0,1.5,74.0,1883.0,0.297,0.0,0.0,0.0,0.0,0,8078.356999999999,368.264,16866.818,3698.102,7547.789,269400.0
5892.0,1.0,59.0,1126.0,0.135,0.0,0.0,0.0,0.0,0,7806.036999999999,640.584,19281.099,3939.593,7920.41,112500.0
5893.0,1.0,61.0,914.0,0.21,0.0,0.0,0.0,0.0,0,7834.120999999999,612.5,19332.791,3963.741,7901.101,92300.0
5894.0,1.0,61.0,1456.0,0.21,0.0,0.0,0.0,0.0,0,7830.268999999999,616.352,19383.089,3956.839,7913.323,156500.0
5895.0,1.0,61.0,1043.0,0.21,1.0,0.0,0.0,0.0,0,7826.3769999999995,620.244,19433.634,3950.517,7925.93,98600.0
5897.0,1.0,61.0,1347.0,0.21,1.0,0.0,0.0,0.0,0,7822.605999999999,624.015,19482.809,3944.996,7938.47,132500.0
5898.0,1.0,62.0,1392.0,0.21,0.0,0.0,0.0,0.0,0,7818.748,627.873,19532.856,3939.981,7951.546,147000.0
5899.0,1.0,62.0,886.0,0.21,0.0,0.0,0.0,0.0,0,7814.951999999999,631.669,19582.909,3935.662,7964.856,89700.0
5900.0,1.0,94.0,736.0,0.61,1.0,0.0,1.0,0.0,1,8242.679999999998,203.941,16200.774,3299.527,7597.401,122300.0
5902.0,1.0,8.0,1740.0,0.21,1.0,1.0,0.0,0.0,0,7811.168,635.453,19632.838,3931.988,7978.422,227900.0
5903.0,2.0,59.0,999.0,0.21,1.0,0.0,0.0,0.0,0,7806.877999999999,639.743,19682.976,3928.445,7992.815,101200.0
5904.0,1.0,58.0,978.0,0.21,1.0,0.0,0.0,0.0,0,7808.625999999999,637.995,19732.311,3926.426,8006.44,92000.0
5905.0,1.5,39.0,1094.0,0.21,1.0,0.0,0.0,0.0,0,7812.880999999999,633.74,19782.355,3924.52,8021.027,109100.0
5906.0,1.5,52.0,1015.0,0.21,1.0,0.0,0.0,0.0,0,7817.088999999999,629.532,19831.901,3923.258,8035.755,99200.0
5907.0,1.0,59.0,1747.0,0.553,1.0,0.0,0.0,0.0,0,7548.712999999999,897.908,21965.948,4454.863,8820.501,189200.0
5908.0,1.0,62.0,832.0,0.21,0.0,0.0,0.0,0.0,0,7821.228999999999,625.392,19882.308,3922.475,8051.165,85200.0
5909.0,1.0,61.0,863.0,0.21,1.0,0.0,0.0,0.0,0,7825.707999999999,620.913,19930.761,3922.841,8065.758,82700.0
5910.0,1.0,58.0,836.0,0.21,0.0,0.0,0.0,0.0,0,7829.977999999999,616.643,19980.065,3923.539,8081.16,85200.0
5911.0,2.0,23.0,1534.0,0.321,1.0,1.0,0.0,0.0,0,7505.802999999999,940.818,22582.824,4711.38,9192.473,174400.0
5912.0,2.0,81.0,1840.0,0.13,1.0,0.0,0.0,0.0,0,7997.348999999999,449.272,16961.973,3714.796,7605.158,253800.0
5913.0,1.0,53.0,1337.0,0.21,0.0,0.0,0.0,0.0,0,7834.302999999999,612.318,20029.497,3924.906,8096.831,138700.0
5914.0,1.5,26.0,1520.0,0.151,0.0,1.0,0.0,0.0,0,7614.491999999999,832.129,20851.942,4004.098,8407.935,174700.0
5915.0,1.0,61.0,660.0,0.21,1.0,0.0,0.0,0.0,0,7838.545999999999,608.075,20080.176,3926.926,8113.028,67900.0
5917.0,1.0,22.0,1216.0,0.267,0.0,1.0,0.0,0.0,0,7490.534,956.087,22313.37,4547.263,9073.827,126400.0
5918.0,2.0,18.0,1637.0,0.283,0.0,1.0,0.0,0.0,0,7548.741999999999,897.879,21273.333,4123.383,8576.003,211400.0
5920.0,3.0,42.0,2767.0,0.253,1.0,0.0,0.0,0.0,0,7824.589999999999,622.031,20255.689,3939.054,8169.044,588800.0
5921.0,1.0,49.0,1052.0,0.525,1.0,0.0,0.0,0.0,0,7799.174999999999,647.446,20347.183,3948.341,8198.423,99600.0
5922.0,2.5,7.0,2711.0,0.137,1.0,1.0,0.0,0.0,0,7570.517999999999,876.103,20942.096,3999.818,8468.792,619400.0
